Frame#,Total cars,Frame#,Frame_time#,FPS
1,2,1,0.046905517578125,0.4162922640260921
2,2,2,0.020781755447387695,0.8202516683744226
3,2,3,0.02197265625,1.2134983077641481
4,2,4,0.02098393440246582,1.599068230925469
5,2,5,0.02493596076965332,1.9710527196300367
6,2,6,0.02194380760192871,2.3386601742047306
7,2,7,0.018950700759887695,2.6988475254314253
8,2,8,0.02393364906311035,3.0408039204242896
9,2,9,0.022938966751098633,3.3849749247905123
10,2,10,0.02094411849975586,3.719229684005439
11,2,11,0.029926538467407227,4.031052599527691
12,2,12,0.03589916229248047,4.312237219600237
13,3,13,0.033915042877197266,4.576587017676858
14,3,14,0.021946191787719727,4.870423091278563
15,3,15,0.027930498123168945,5.15425347061502
16,3,16,0.03291773796081543,5.401797506518328
17,3,17,0.029924392700195312,5.657421306425411
18,4,18,0.03291749954223633,5.891949883191109
19,3,19,0.0319209098815918,6.127181899743885
20,3,20,0.031920433044433594,6.354952621231746
21,3,21,0.030912160873413086,6.5766653047473635
22,3,22,0.03291630744934082,6.785249277775699
23,3,23,0.030921459197998047,6.9967373119439475
24,3,24,0.031911373138427734,7.196142433488975
25,3,25,0.02992701530456543,7.397680943967387
26,3,26,0.024935007095336914,7.601610356133236
27,3,27,0.024933338165283203,7.821006289542726
28,3,28,0.03690147399902344,8.008868091503373
29,3,29,0.034906625747680664,8.189762266600512
30,3,30,0.03191494941711426,8.368460652031546
31,3,31,0.024933815002441406,8.554594733292761
32,3,32,0.024932384490966797,8.753459866513673
33,3,33,0.022933244705200195,8.956147679731153
34,2,34,0.019951581954956055,9.160820436432672
35,1,35,0.02892756462097168,9.330059522088217
36,1,36,0.025934696197509766,9.485475742690506
37,2,37,0.0249330997467041,9.672705088332501
38,1,38,0.021941184997558594,9.862133197831543
39,2,39,0.024933576583862305,10.035938308417299
40,1,40,0.0249330997467041,10.212025383102757
41,2,41,0.02293848991394043,10.393229207115747
42,2,42,0.032912492752075195,10.537494078068995
43,2,43,0.02493429183959961,10.68412127128878
44,2,44,0.02593064308166504,10.846580752993281
45,2,45,0.02692699432373047,10.969041335869983
46,2,46,0.02692723274230957,11.128927964558718
47,2,47,0.020949602127075195,11.302599464501633
48,2,48,0.030974626541137695,11.430249882334506
49,2,49,0.02293848991394043,11.561441859426374
50,2,50,0.02593064308166504,11.706481448609201
51,2,51,0.0249326229095459,11.854799949856258
52,2,52,0.02052783966064453,12.012536661417998
53,2,53,0.028926849365234375,12.13361080220387
54,2,54,0.044883012771606445,12.186804955573708
55,2,55,0.03391551971435547,12.273349342986867
56,2,56,0.021942138671875,12.399912322528085
57,2,57,0.026934385299682617,12.519399767149695
58,2,58,0.019941091537475586,12.672418603536634
59,2,59,0.02793121337890625,12.78061203831251
60,2,60,0.03391551971435547,12.849484186563398
61,2,61,0.0349125862121582,12.929613873062321
62,2,62,0.02492833137512207,13.042147032743934
63,1,63,0.022939443588256836,13.169614566176127
64,2,64,0.021941423416137695,13.29549945866629
65,2,65,0.02793264389038086,13.400970535288705
66,1,66,0.027034997940063477,13.484941168046099
67,1,67,0.03590273857116699,13.537833821281732
68,1,68,0.03889822959899902,13.608254556952428
69,2,69,0.04188942909240723,13.677340043606694
70,1,70,0.03292393684387207,13.73703251540485
71,1,71,0.02692556381225586,13.817028557085056
72,1,72,0.02846217155456543,13.923701829525028
73,1,73,0.024933576583862305,14.000973351095642
74,1,74,0.022938251495361328,14.111788292505807
75,1,75,0.020952224731445312,14.223144349907669
76,1,76,0.033918142318725586,14.292664891287865
77,1,77,0.026927947998046875,14.370220490885767
78,1,78,0.027871131896972656,14.467980836705673
79,1,79,0.02991509437561035,14.519171637370308
80,1,80,0.024933338165283203,14.58797902356141
81,1,81,0.027962446212768555,14.682114511363084
82,1,82,0.02492666244506836,14.748725251508374
83,1,83,0.024936914443969727,14.848875227039713
84,1,84,0.028915882110595703,14.935471135712742
85,1,85,0.03490471839904785,14.972330137432325
86,1,86,0.03118419647216797,15.032178626101679
87,1,87,0.03391671180725098,15.076789794348318
88,1,88,0.029924631118774414,15.135167301367172
89,1,89,0.029926776885986328,15.187939745925819
90,1,90,0.02093672752380371,15.26156119152999
91,1,91,0.03593921661376953,15.31058817545421
92,1,92,0.020951271057128906,15.396762983094547
93,1,93,0.02194666862487793,15.482956692921825
94,1,94,0.022943735122680664,15.566767355020714
95,1,95,0.02393627166748047,15.652230547327193
96,1,96,0.030911684036254883,15.720427304891578
97,1,97,0.03391313552856445,15.754616642329502
98,1,98,0.03092360496520996,15.8034110982031
99,1,99,0.03391671180725098,15.836428491011091
100,1,100,0.030865192413330078,15.882574708200616
101,1,101,0.03092360496520996,15.927108926462292
102,1,102,0.03291964530944824,15.959967405509197
103,1,103,0.025937318801879883,16.01615802596851
104,1,104,0.030914783477783203,16.07703633376259
105,1,105,0.018796920776367188,16.144406319356445
106,1,106,0.03192257881164551,16.191140108121754
107,1,107,0.022938251495361328,16.249828573001036
108,1,108,0.028929471969604492,16.307645208063
109,1,109,0.03391599655151367,16.33058790477604
110,1,110,0.02991485595703125,16.37498794165058
111,1,111,0.022477388381958008,16.424913154663336
112,1,112,0.033913373947143555,16.46830298446375
113,1,113,0.020949125289916992,16.53336207752105
114,1,114,0.027924299240112305,16.585200118210363
115,1,115,0.032915353775024414,16.609796759184217
116,1,116,0.030924081802368164,16.649072680426393
117,1,117,0.03192138671875,16.67850831127329
118,1,118,0.02992558479309082,16.714141927594998
119,1,119,0.021941184997558594,16.7657853974717
120,1,120,0.031919002532958984,16.8077770206975
121,1,121,0.020975351333618164,16.862169561244375
122,1,122,0.029924631118774414,16.906939342456447
123,1,123,0.033913612365722656,16.928297893243116
124,1,124,0.030922412872314453,16.96240497138534
125,1,125,0.032918691635131836,16.984149243909467
126,2,126,0.03379416465759277,17.01347811982184
127,2,127,0.019945383071899414,17.070346922047964
128,2,128,0.025928497314453125,17.116681516381032
129,2,129,0.022943735122680664,17.18652604086495
130,2,130,0.01995229721069336,17.25775418265744
131,2,131,0.030912160873413086,17.295083612782314
132,2,132,0.021940946578979492,17.338073790327442
133,1,133,0.036399126052856445,17.362296138091775
134,1,134,0.022937536239624023,17.41575288228139
135,1,135,0.02293705940246582,17.475327637487133
136,1,136,0.020939350128173828,17.538919405204922
137,1,137,0.028929471969604492,17.578619891801267
138,1,138,0.0368955135345459,17.58342575446814
139,1,139,0.028821229934692383,17.62168465393043
140,1,140,0.024933338165283203,17.652487880651904
141,1,141,0.025930404663085938,17.70732104297812
142,1,142,0.027928829193115234,17.761709004735494
143,1,143,0.02393507957458496,17.79136458978254
144,1,144,0.02194046974182129,17.852033373306675
145,1,145,0.03446841239929199,17.879097635645795
146,1,146,0.02393627166748047,17.923065046846034
147,1,147,0.022938251495361328,17.978026874082165
148,1,148,0.021947383880615234,18.03706134876647
149,1,149,0.02095174789428711,18.094265266213878
150,1,150,0.033916473388671875,18.118597105358557
151,1,151,0.03191733360290527,18.140659303392162
152,1,152,0.021017074584960938,18.180822374711767
153,1,153,0.01994013786315918,18.235410998013204
154,1,154,0.032912492752075195,18.25760161703666
155,1,155,0.0319218635559082,18.276054829644302
156,1,156,0.03391528129577637,18.28903857519389
157,1,157,0.029925823211669922,18.31807201312525
158,1,158,0.03391432762145996,18.32533369554463
159,1,159,0.025930166244506836,18.356384595534728
160,1,160,0.022936582565307617,18.41019172107289
161,1,161,0.03091263771057129,18.442589129620263
162,1,162,0.03444170951843262,18.45043942842399
163,1,163,0.021934032440185547,18.4930251993574
164,1,164,0.020949363708496094,18.545536026431247
165,1,165,0.029926538467407227,18.57372125275408
166,1,166,0.03490185737609863,18.57973850943606
167,1,167,0.03092050552368164,18.60200545613754
168,1,168,0.030408859252929688,18.616537433716324
169,1,169,0.033914804458618164,18.62431127444476
170,2,170,0.03391408920288086,18.636090130686767
171,2,171,0.035909414291381836,18.64572189124723
172,2,172,0.019946813583374023,18.691747830591407
173,2,173,0.035771846771240234,18.70738614163769
174,2,174,0.02665567398071289,18.74321413645392
175,2,175,0.019953012466430664,18.800481730788366
176,1,176,0.01895427703857422,18.84786517077125
177,1,177,0.03291821479797363,18.86302492777267
178,0,178,0.030924558639526367,18.88121419036892
179,1,179,0.03291630744934082,18.888762239302558
180,1,180,0.03291654586791992,18.900468602116092
181,1,181,0.03591036796569824,18.904788468026855
182,1,182,0.02194499969482422,18.94376248889817
183,1,183,0.03190970420837402,18.964991746709394
184,1,184,0.03490924835205078,18.970302572801657
185,1,185,0.019951343536376953,19.009170919058853
186,1,186,0.03491330146789551,19.02055507779761
187,1,187,0.029912948608398438,19.039164902573713
188,0,188,0.0319209098815918,19.049371076315868
189,0,189,0.03390765190124512,19.053090525580068
190,1,190,0.028925418853759766,19.074033172233268
191,0,191,0.02991485595703125,19.085137513956585
192,1,192,0.032906532287597656,19.089004166314663
193,1,193,0.034911394119262695,19.09563866354324
194,2,194,0.030921220779418945,19.11465133563658
195,0,195,0.03493213653564453,19.116627282563744
196,1,196,0.023935317993164062,19.145403122768197
197,2,197,0.026934385299682617,19.178724921167365
198,2,198,0.02194690704345703,19.226109676532158
199,2,199,0.01995110511779785,19.26960255744001
200,2,200,0.02894878387451172,19.2902214335298
201,2,201,0.03590846061706543,19.284461132558874
202,2,202,0.03092360496520996,19.302339226438253
203,2,203,0.03092503547668457,19.311736206063294
204,2,204,0.03690814971923828,19.312627321743125
205,2,205,0.0247499942779541,19.341433425725434
206,2,206,0.018953800201416016,19.3901127610277
207,2,207,0.03192019462585449,19.405512485510197
208,2,208,0.029912710189819336,19.417819509088076
209,2,209,0.023935556411743164,19.43697716297544
210,2,210,0.021947145462036133,19.476264997576312
211,2,211,0.03290700912475586,19.491344525455684
212,2,212,0.030920743942260742,19.50438669270988
213,2,213,0.03391432762145996,19.507083410001414
214,2,214,0.032920122146606445,19.515953182553613
215,2,215,0.0319211483001709,19.525675514159857
216,2,216,0.02992701530456543,19.53700669104504
217,2,217,0.03291749954223633,19.541653603671246
218,2,218,0.020941734313964844,19.56668706810864
219,2,219,0.029926776885986328,19.58707971566178
220,2,220,0.034912824630737305,19.58593401915359
221,2,221,0.04289364814758301,19.580282870024657
222,2,222,0.030917882919311523,19.606513224542915
223,2,223,0.03589892387390137,19.606613513257603
224,2,224,0.0269320011138916,19.62733044547048
225,2,225,0.03590679168701172,19.620142568315778
226,2,226,0.02992415428161621,19.637624371939534
227,2,227,0.03491067886352539,19.637649930373588
228,2,228,0.0349125862121582,19.646107829516886
229,2,229,0.01894974708557129,19.678161654264656
230,2,230,0.02992558479309082,19.69273018336314
231,2,231,0.032941341400146484,19.693469659865332
232,2,232,0.02892589569091797,19.710492397438006
233,2,233,0.03191375732421875,19.713602630823452
234,2,234,0.03291821479797363,19.717924311895732
235,2,235,0.033904075622558594,19.722498768871343
236,2,236,0.022942304611206055,19.746525072624937
237,2,237,0.01995229721069336,19.78391653343049
238,2,238,0.03200364112854004,19.79579178250964
239,2,239,0.028930187225341797,19.806188507653342
240,2,240,0.034911155700683594,19.80167927928339
241,2,241,0.034913063049316406,19.806849316893754
242,2,242,0.0234682559967041,19.829658995135116
243,2,243,0.021941661834716797,19.86290234929925
244,2,244,0.025936603546142578,19.886995342148232
245,2,245,0.020943880081176758,19.92577313446635
246,1,246,0.03391742706298828,19.935153369770386
247,1,247,0.020943641662597656,19.961341175238353
248,1,248,0.022934675216674805,19.98732248066085
249,1,249,0.02593708038330078,20.012922319775964
250,1,250,0.027921438217163086,20.03867977967038
251,1,251,0.02792644500732422,20.067498768286306
252,1,252,0.0279233455657959,20.096174881590684
253,1,253,0.024928569793701172,20.103965929846986
254,1,254,0.02644205093383789,20.13155808303096
255,1,255,0.026928186416625977,20.159017898546573
256,1,256,0.021936416625976562,20.19614160568326
257,1,257,0.03190922737121582,20.208131112724317
258,1,258,0.0299222469329834,20.21511920990006
259,1,259,0.03291893005371094,20.21321048268245
260,1,260,0.03679633140563965,20.209742141350567
261,1,261,0.022938013076782227,20.2372684786359
262,1,262,0.030913591384887695,20.253761106845506
263,1,263,0.028928041458129883,20.261166953354966
264,1,264,0.032920122146606445,20.26158736432417
265,1,265,0.03839278221130371,20.257325071773778
266,1,266,0.022937297821044922,20.283974477370588
267,1,267,0.019940853118896484,20.315244030728234
268,1,268,0.020946502685546875,20.341284023685986
269,1,269,0.028914690017700195,20.357937074188406
270,2,270,0.031914472579956055,20.356680396426594
271,2,271,0.03590559959411621,20.352433518920556
272,2,272,0.033910274505615234,20.357396474622462
273,2,273,0.03291153907775879,20.359288598663174
274,2,274,0.02293872833251953,20.379305561845797
275,2,275,0.03391313552856445,20.38875453121301
276,2,276,0.03092169761657715,20.39724409145674
277,2,277,0.03190755844116211,20.398452001637533
278,3,278,0.022944927215576172,20.413950037617337
279,2,279,0.027928590774536133,20.432812915457827
280,3,280,0.03191399574279785,20.43075761299439
281,3,281,0.03092360496520996,20.43497642287002
282,3,282,0.032919883728027344,20.434391865092493
283,2,283,0.03291964530944824,20.437712936600093
284,2,284,0.028946399688720703,20.446914100883056
285,2,285,0.03690147399902344,20.43809189705805
286,2,286,0.02193737030029297,20.461511112032966
287,2,287,0.019939422607421875,20.489146591855125
288,2,288,0.03291487693786621,20.49503324921492
289,2,289,0.027929306030273438,20.507481116817473
290,2,290,0.034909725189208984,20.499763536508905
291,2,291,0.033910512924194336,20.50389520137518
292,2,292,0.0249326229095459,20.51956223589731
293,2,293,0.026927947998046875,20.542324928538285
294,3,294,0.02194833755493164,20.574551523716824
295,3,295,0.02494049072265625,20.59514957569973
296,3,296,0.020948410034179688,20.62588761132766
297,2,297,0.027919769287109375,20.639509514275066
298,2,298,0.02593088150024414,20.66603269359923
299,2,299,0.02595067024230957,20.689562094213183
300,2,300,0.02593064308166504,20.715142491477973
301,2,301,0.02692270278930664,20.73768026384217
302,2,302,0.020939111709594727,20.76947291691016
303,2,303,0.028928279876708984,20.781697030109253
304,2,304,0.02792501449584961,20.78470752733951
305,2,305,0.021941184997558594,20.81617367335821
306,3,306,0.022765398025512695,20.839823213927566
307,3,307,0.028928756713867188,20.854788210057716
308,2,308,0.032918453216552734,20.85285271169599
309,3,309,0.03092336654663086,20.857095543893323
310,2,310,0.032919883728027344,20.854323076987974
311,2,311,0.027931690216064453,20.865273490658275
312,2,312,0.01894354820251465,20.900200410672344
313,2,313,0.02992701530456543,20.90757188687527
314,2,314,0.023935556411743164,20.91862618776697
315,2,315,0.01895618438720703,20.95039667941149
316,2,316,0.031920671463012695,20.954872812434072
317,2,317,0.029926061630249023,20.957803547312427
318,2,318,0.042877197265625,20.941156311139242
319,2,319,0.021941184997558594,20.969823022002153
320,2,320,0.0209505558013916,20.99420292412183
321,2,321,0.026934385299682617,21.010231187331573
322,2,322,0.019953012466430664,21.041674707839967
323,2,323,0.029926300048828125,21.050232554569412
324,2,324,0.031920433044433594,21.049576572582648
325,2,325,0.03390312194824219,21.04760157493606
326,1,326,0.0259246826171875,21.05796066771698
327,1,327,0.019953012466430664,21.087181578789817
328,1,328,0.032935142517089844,21.093299722210237
329,1,329,0.02992105484008789,21.09941838934306
330,2,330,0.03390812873840332,21.094163062085624
331,2,331,0.03485536575317383,21.09203357133317
332,2,332,0.03092360496520996,21.10112891755479
333,2,333,0.02178359031677246,21.114008807818323
334,2,334,0.01895284652709961,21.141177953073413
335,2,335,0.030261993408203125,21.14623301773126
336,2,336,0.03391671180725098,21.14256777802585
337,2,337,0.032907724380493164,21.14586957708469
338,2,338,0.03490114212036133,21.142350504835736
339,2,339,0.032919883728027344,21.14501327455093
340,2,340,0.0249330997467041,21.156061524612227
341,2,341,0.02393794059753418,21.177541457933952
342,2,342,0.02293872833251953,21.19894375626236
343,2,343,0.02393627166748047,21.21895309855114
344,2,344,0.02892303466796875,21.232346101642364
345,2,345,0.03291940689086914,21.22879826713805
346,2,346,0.03092026710510254,21.230614492212887
347,2,347,0.02294611930847168,21.24158626231847
348,2,348,0.022933006286621094,21.26113360226582
349,2,349,0.027925729751586914,21.27426590981986
350,2,350,0.022938251495361328,21.280885090766784
351,2,351,0.022938966751098633,21.30035469370714
352,2,352,0.031913042068481445,21.307856955329306
353,2,353,0.03591203689575195,21.305246773622578
354,2,354,0.031920433044433594,21.309334043384407
355,2,355,0.037893056869506836,21.301668865296634
356,2,356,0.019941329956054688,21.323390991196682
357,2,357,0.03690338134765625,21.321834151609405
358,2,358,0.032919883728027344,21.327138113439304
359,2,359,0.02094411849975586,21.340967215397292
360,2,360,0.0319218635559082,21.34619885899757
361,2,361,0.031922101974487305,21.348402389446182
362,2,362,0.03092336654663086,21.349128283349813
363,2,363,0.03291606903076172,21.345587903251822
364,2,364,0.033913612365722656,21.34326007565814
365,2,365,0.02793097496032715,21.350960197788993
366,2,366,0.031917572021484375,21.347488645414145
367,2,367,0.03394198417663574,21.344860808466695
368,2,368,0.02593684196472168,21.35693490798927
369,2,369,0.019942522048950195,21.382685870221078
370,2,370,0.029927730560302734,21.38871999006017
371,2,371,0.03292036056518555,21.384805576989177
372,2,372,0.033915042877197266,21.383160204336846
373,2,373,0.030811548233032227,21.385369030816644
374,2,374,0.031920671463012695,21.382758470841107
375,2,375,0.029925823211669922,21.38694893607318
376,2,376,0.037903547286987305,21.376965418662216
377,2,377,0.030910730361938477,21.38582382094586
378,2,378,0.033907175064086914,21.38373389894563
379,3,379,0.03390932083129883,21.382249601564833
380,3,380,0.024912357330322266,21.3939893598886
381,3,381,0.019951820373535156,21.417777380405155
382,3,382,0.03191995620727539,21.421167407164496
383,3,383,0.029926538467407227,21.42412505912105
384,3,384,0.0349125862121582,21.417871794744954
385,3,385,0.02892899513244629,21.425934292646126
386,3,386,0.03191995620727539,21.422074793305928
387,3,387,0.03092336654663086,21.424425716412173
388,3,388,0.030923128128051758,21.424331247429976
