Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
54,2,0,54,0.14196300506591797,4.992954870112692
55,2,0,55,0.14191913604736328,5.012942153858202
56,2,0,56,0.14081454277038574,5.032459932094225
57,2,0,57,0.14119172096252441,5.051524592719209
58,2,0,58,0.14091181755065918,5.070258461229357
59,2,0,59,0.14446377754211426,5.0871797503123775
60,2,0,60,0.13926410675048828,5.107136358734455
61,2,0,61,0.1434638500213623,5.1224129193957655
62,2,0,62,0.14952397346496582,5.137019898138604
63,1,0,63,0.08041191101074219,5.181790392550679
64,2,0,64,0.14203333854675293,5.197921532014745
65,2,0,65,0.14060282707214355,5.2137236541589465
66,1,0,66,0.08994698524475098,5.24959869093065
67,1,0,67,0.07741641998291016,5.2948379683877755
68,1,0,68,0.07950592041015625,5.333096882451594
69,2,0,69,0.1430521011352539,5.346306527400278
70,1,0,70,0.08321952819824219,5.383945822044166
71,1,0,71,0.0884089469909668,5.419624843564704
72,1,0,72,0.0791018009185791,5.460322754935728
73,1,0,73,0.08436226844787598,5.494910269512524
74,1,0,74,0.08075952529907227,5.532324390137956
75,1,0,75,0.22864031791687012,5.507621063636347
76,1,0,76,0.08103775978088379,5.545022242739298
77,1,0,77,0.08519434928894043,5.577817529513937
78,1,0,78,0.08278989791870117,5.613187367959858
79,1,0,79,0.08178162574768066,5.647704510341656
80,1,0,80,0.08971214294433594,5.67759278715066
81,1,0,81,0.09017562866210938,5.704727712750566
82,1,0,82,0.09117913246154785,5.731277065568464
83,1,0,83,0.08067464828491211,5.761207986954905
84,1,0,84,0.0809321403503418,5.793774019032839
85,1,0,85,0.08664393424987793,5.822813753890904
86,1,0,86,0.08284354209899902,5.855671227738847
87,1,0,87,0.08284378051757812,5.88582930396586
88,1,0,88,0.08089709281921387,5.917188799023518
89,1,0,89,0.08387231826782227,5.945535492711933
90,1,0,90,0.08429265022277832,5.974291801145488
91,1,0,91,0.08432745933532715,6.00273742379857
92,1,0,92,0.08448386192321777,6.031403954765436
93,1,0,93,0.08481502532958984,6.059913639416421
94,1,0,94,0.07856416702270508,6.090176069633263
95,1,0,95,0.08531713485717773,6.11506035742372
96,1,0,96,0.08985733985900879,6.140103972113398
97,1,0,97,0.08357071876525879,6.1645428699216
98,1,0,98,0.08882498741149902,6.188915956411455
99,1,0,99,0.08285999298095703,6.217751247750922
100,1,0,100,0.08108234405517578,6.244846774270154
101,1,0,101,0.08234095573425293,6.269902156008654
102,1,0,102,0.08502578735351562,6.293916736328707
103,1,0,103,0.07961821556091309,6.3214638970591865
104,1,0,104,0.08028984069824219,6.346167838456448
105,1,0,105,0.0798652172088623,6.371067862846321
106,1,0,106,0.08294034004211426,6.394404034900338
107,1,0,107,0.0950467586517334,6.413924248869743
108,1,0,108,0.08255267143249512,6.436435548597973
109,1,0,109,0.08131909370422363,6.460808490353313
110,1,0,110,0.07971453666687012,6.4847274962469275
111,1,0,111,0.08376431465148926,6.505678043630552
112,1,0,112,0.08608841896057129,6.527522601844493
113,1,0,113,0.08835053443908691,6.548764128878061
114,1,0,114,0.08280563354492188,6.57225137560407
115,1,0,115,0.0809025764465332,6.595629483897231
116,1,0,116,0.08524632453918457,6.615749728857736
117,1,0,117,0.0811154842376709,6.638973133804011
118,1,0,118,0.08586812019348145,6.6585097049544935
119,1,0,119,0.08917951583862305,6.677829639370541
120,1,0,120,0.09585976600646973,6.6914563735185055
121,1,0,121,0.08147644996643066,6.711439466985233
122,1,0,122,0.07861852645874023,6.733127088793089
123,1,0,123,0.0892953872680664,6.74926824841931
124,1,0,124,0.08046913146972656,6.772155356559213
125,1,0,125,0.08093905448913574,6.791811584849481
126,2,0,126,0.1404867172241211,6.7892651251200045
127,2,0,127,0.1477065086364746,6.782852486242346
128,2,0,128,0.14191126823425293,6.781929742045704
129,2,0,129,0.13953471183776855,6.780690465040775
130,2,0,130,0.14490222930908203,6.776142950072971
131,2,0,131,0.1467297077178955,6.771884475080064
132,2,0,132,0.13997364044189453,6.770295620977796
133,1,0,133,0.08095002174377441,6.7881301354221435
134,1,0,134,0.07979178428649902,6.80670151292427
135,1,0,135,0.08390665054321289,6.8234334661688925
136,1,0,136,0.08227062225341797,6.84156725665846
137,1,0,137,0.08113765716552734,6.8595736778674565
