Frame#,Total cars,Frame#,Frame_time#,FPS
1,2,1,0.0495760440826416,14.676688361676815
2,2,2,0.0219419002532959,18.089929849455594
3,2,3,0.021944046020507812,21.338325820860593
4,2,4,0.02194380760192871,23.250312157440987
5,2,5,0.035681724548339844,22.918692079034795
6,2,6,0.020893096923828125,24.054252918388357
7,2,7,0.02991938591003418,24.12325813745596
8,2,8,0.03390836715698242,23.490148391924937
9,2,9,0.02991795539855957,23.5743951638085
10,2,10,0.03191328048706055,23.217075546895757
11,2,11,0.021939516067504883,23.564829484802516
12,2,12,0.02692270278930664,23.871035180760376
13,3,13,0.020941734313964844,24.545473042991304
14,3,14,0.029892444610595703,24.585006728190322
15,3,15,0.030923128128051758,24.272630050355016
16,3,16,0.031920433044433594,24.10088425274502
17,3,17,0.03180956840515137,23.937181956799503
18,4,18,0.03490161895751953,23.655966187442367
19,3,19,0.030919790267944336,23.679804123741974
20,3,20,0.03191876411437988,23.503946880671197
21,3,21,0.035903215408325195,23.259563235473532
22,3,22,0.023936033248901367,23.460157513466594
23,3,23,0.02495408058166504,23.718755124836406
24,3,24,0.02293848991394043,24.00919885219466
25,3,25,0.026928424835205078,24.165698533961695
26,3,26,0.025930404663085938,24.087263063219073
27,3,27,0.027924299240112305,24.262478026457163
28,3,28,0.03537392616271973,24.000920467255664
29,3,29,0.025958776473999023,24.075385056315525
30,3,30,0.0249330997467041,24.28230270322218
31,3,31,0.023941993713378906,24.479015473222145
32,3,32,0.021821260452270508,24.695542160228612
33,3,33,0.021131515502929688,24.869068191741096
34,2,34,0.020955324172973633,25.05002070135888
35,1,35,0.02246546745300293,25.166131745839635
36,1,36,0.01995062828063965,25.36701401599654
37,2,37,0.03256344795227051,25.27697025401369
38,1,38,0.019951581954956055,25.35541847439443
39,2,39,0.030919790267944336,25.309042028289934
40,1,40,0.03244137763977051,25.152768455533156
41,2,41,0.0249178409576416,25.17306033388037
42,2,42,0.027920007705688477,25.24494526488089
43,2,43,0.019941329956054688,25.479443957677763
44,2,44,0.02693486213684082,25.48549317461523
45,2,45,0.023703575134277344,25.63860326264358
46,2,46,0.025925636291503906,25.73603494716348
47,2,47,0.020263195037841797,25.923406316832082
48,2,48,0.028041601181030273,25.924411157072683
49,2,49,0.034941673278808594,25.716915455133112
50,2,50,0.029915809631347656,25.69701942306347
51,2,51,0.03982067108154297,25.45312389004501
52,2,52,0.022157907485961914,25.570976451898446
53,2,53,0.030932903289794922,25.55649504926364
54,2,54,0.024518728256225586,25.54695620101221
55,2,55,0.02893519401550293,25.59450970045599
56,2,56,0.03589963912963867,25.43478963328928
57,2,57,0.029481172561645508,25.42801899544599
58,2,58,0.037899017333984375,25.253928862023667
59,2,59,0.02285456657409668,25.356496256425864
60,2,60,0.0219419002532959,25.44723736383545
61,2,61,0.021935462951660156,25.52585573370766
62,2,62,0.022940397262573242,25.60891439339866
63,1,63,0.02193307876586914,25.7155239378914
64,2,64,0.020947933197021484,25.797966900505944
65,2,65,0.03092360496520996,25.79433186490733
66,1,66,0.034911394119262695,25.655962504771843
67,1,67,0.02095317840576172,25.70489869501741
68,1,68,0.02991342544555664,25.69362007652791
69,2,69,0.02191781997680664,25.686666961929
70,1,70,0.0279233455657959,25.699521558574652
71,1,71,0.03697013854980469,25.533561955560312
72,1,72,0.03049778938293457,25.516611490075523
73,1,73,0.03391218185424805,25.41874328126428
74,1,74,0.03090977668762207,25.371923563746634
75,1,75,0.03646421432495117,25.278450620030508
76,1,76,0.026927471160888672,25.309491999255247
77,1,77,0.025925397872924805,25.381182343305714
78,1,78,0.020938396453857422,25.50119412722781
79,1,79,0.026930570602416992,25.524534827218897
80,1,80,0.02593517303466797,25.59361487421885
81,1,81,0.022904396057128906,25.682747313672326
82,1,82,0.023786544799804688,25.733069986800253
83,1,83,0.02194046974182129,25.802903915234346
84,1,84,0.022937297821044922,25.850587600840846
85,1,85,0.030977964401245117,25.839894430057775
86,1,86,0.029918432235717773,25.780078741738834
87,1,87,0.04189753532409668,25.612497117839563
88,1,88,0.02493429183959961,25.68068675022369
89,1,89,0.030544757843017578,25.69116974009798
90,1,90,0.02892327308654785,25.642802347424123
91,1,91,0.0249330997467041,25.60776162449972
92,1,92,0.027517318725585938,25.656037818783158
93,1,93,0.026285648345947266,25.71542908187735
94,1,94,0.04388761520385742,25.327280021353143
95,1,95,0.03390669822692871,25.242155214541185
96,1,96,0.03606700897216797,25.170653619163176
97,1,97,0.025696754455566406,25.2043971211612
98,1,98,0.0193936824798584,25.300612237185067
99,1,99,0.030910968780517578,25.282508138013203
100,1,100,0.020946025848388672,25.303694723216708
101,1,101,0.021764278411865234,25.35140127743025
102,1,102,0.024082422256469727,25.385788874030073
103,1,103,0.030968666076660156,25.388542151379923
104,1,104,0.03391313552856445,25.328549212767363
105,1,105,0.033965110778808594,25.280467307745294
106,1,106,0.031255483627319336,25.255495303892197
107,1,107,0.02294325828552246,25.265558730518496
108,1,108,0.02291727066040039,25.311682570814316
109,1,109,0.025905847549438477,25.344337890255893
110,1,110,0.0220034122467041,25.41586108236926
111,1,111,0.02332162857055664,25.455961416236867
112,1,112,0.021936416625976562,25.507803938933794
113,1,113,0.023943424224853516,25.549933561359637
114,1,114,0.028782129287719727,25.563105605928172
115,1,115,0.03284311294555664,25.51204912793473
116,1,116,0.034110307693481445,25.46651726817669
117,1,117,0.03084254264831543,25.447683851346948
118,1,118,0.03373098373413086,25.38938615163674
119,1,119,0.030913114547729492,25.360030688795796
120,1,120,0.043889522552490234,25.249787117100496
